SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,CommonName,ScientificName,ReserveStatus,Reference,Mean_Density
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.005
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0.005
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"opaleye, adult",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0.0083
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.0067
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0.0167
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0.0183
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0.015
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0067
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0.0067
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0.0033
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"opaleye, adult",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.1667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0067
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0.05
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"opaleye, adult",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.1067
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"opaleye, adult",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.1867
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0.01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0.015
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0.005
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"opaleye, adult",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.025
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0.005
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1990,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0.0067
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0.0083
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0.0333
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0.0033
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0.01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"opaleye, adult",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1991,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0.0233
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0.0083
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0117
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"opaleye, adult",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0.005
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"senorita, adult",Oxyjulis californica,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0.005
1,SM,San Miguel Island,WL,Wyckoff Ledge,1992,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"black surfperch, adult",Embiotoca jacksoni,Outside,FALSE,0.0033
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"black surfperch, juvenile",Embiotoca jacksoni,Outside,FALSE,0.0267
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"blacksmith, adult",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"blacksmith, juvenile",Chromis punctipinnis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"blue rockfish, adult",Sebastes mystinus,Outside,FALSE,0.0033
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"blue rockfish, juvenile",Sebastes mystinus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"California sheephead, female",Semicossyphus pulcher,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"California sheephead, male",Semicossyphus pulcher,Outside,FALSE,0.0017
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"garibaldi, adult",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"garibaldi, juvenile",Hypsypops rubicundus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"kelp bass, adult",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"kelp bass, juvenile",Paralabrax clathratus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"kelp rockfish, adult",Sebastes atrovirens,Outside,FALSE,0.0083
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"kelp rockfish, juvenile",Sebastes atrovirens,Outside,FALSE,0.0433
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"olive rockfish, adult",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"olive rockfish, juvenile",Sebastes serranoides,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"opaleye, adult",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"opaleye, juvenile",Girella nigricans,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"pile perch, adult",Rhacochilus vacca,Outside,FALSE,0.0033
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"pile perch, juvenile",Rhacochilus vacca,Outside,FALSE,0.01
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"rock wrasse, female",Halichoeres semicinctus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"rock wrasse, male",Halichoeres semicinctus,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"senorita, adult",Oxyjulis californica,Outside,FALSE,0.04
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"senorita, juvenile",Oxyjulis californica,Outside,FALSE,0.0833
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"striped surfperch, adult",Embiotoca lateralis,Outside,FALSE,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,"striped surfperch, juvenile",Embiotoca lateralis,Outside,FALSE,0
