word,n,Year
remained low at,113,All Years
kelp bass all,112,All Years
site since monitoring,112,All Years
the last several,112,All Years
this site with,112,All Years
were common but,111,All Years
both quadrats and,110,All Years
california sheephead juvenile,110,All Years
common at a,110,All Years
lophogorgia chilensis heights,110,All Years
lophogorgia chilensis widths,110,All Years
were rare at,110,All Years
status dominated by,109,All Years
alloclinus holderi were,108,All Years
dev cases location,108,All Years
low for this,108,All Years
arms this year,107,All Years
asterina miniata density,107,All Years
cruz island scorpion,107,All Years
island wyckoff ledge,107,All Years
last two years,107,All Years
pyrifera size frequency,107,All Years
adult and one,106,All Years
and cover was,106,All Years
female semicossyphus pulcher,106,All Years
pile perch all,106,All Years
rhacochilus vacca were,106,All Years
tethya aurantia were,106,All Years
the number of,106,All Years
consecutive year and,105,All Years
frequency distributions continued,105,All Years
m quadrats with,105,All Years
miscellaneous invertebrates on,105,All Years
pile perch adult,105,All Years
second consecutive year,105,All Years
the second consecutive,105,All Years
to other sites,105,All Years
were observed along,105,All Years
at santa cruz,104,All Years
avg score avg,104,All Years
downloaded successfully location,104,All Years
of stdev score,104,All Years
of the s,104,All Years
score stdev count,104,All Years
stdev score stdev,104,All Years
the last two,104,All Years
yellow rockfish adult,104,All Years
juveniles were observed,103,All Years
m pyrifera was,103,All Years
recorded during sampling,103,All Years
the monitoring sites,103,All Years
about the same,102,All Years
male semicossyphus pulcher,102,All Years
and juvenile densities,101,All Years
californica cover was,101,All Years
of s franciscanus,101,All Years
on the tops,101,All Years
st dev black,101,All Years
the arms this,101,All Years
the tops of,101,All Years
were observed two,101,All Years
appeared to be,100,All Years
last year to,100,All Years
other sites this,100,All Years
random point contacts,100,All Years
third consecutive year,100,All Years
were observed this,100,All Years
and not observed,99,All Years
serriceps were observed,99,All Years
abundance maximum of,98,All Years
count observers observations,98,All Years
density recorded at,98,All Years
dominated by echinoderms,98,All Years
gopher copper rockfish,98,All Years
juvenile sebastes serriceps,98,All Years
m pyrifera plants,98,All Years
monitoring began in,98,All Years
observations abundance common,98,All Years
observers observations abundance,98,All Years
on top of,98,All Years
semicinctus were observed,98,All Years
spiculata cover was,98,All Years
stdev avg score,98,All Years
the third consecutive,98,All Years
crustose coralline algae,97,All Years
since we began,97,All Years
year and was,97,All Years
asterina patiria miniata,96,All Years
density was similar,96,All Years
m continued species,96,All Years
adults and no,95,All Years
m2 the highest,95,All Years
rare and not,95,All Years
this category covered,95,All Years
seb astes mystinus,94,All Years
the lowest density,94,All Years
their density was,94,All Years
was rare at,94,All Years
haliotis spp were,93,All Years
cypraea spadicea were,92,All Years
desmarestia spp were,92,All Years
miguel island wyckoff,92,All Years
name date black,92,All Years
though present at,92,All Years
at a cover,91,All Years
continued species mean,91,All Years
of m pyrifera,91,All Years
were present in,91,All Years
chilensis heights lophogorgia,90,All Years
dev n anacapa,90,All Years
gigartina spp were,90,All Years
heights lophogorgia chilensis,90,All Years
n anacapa island,90,All Years
n santa rosa,90,All Years
the bottom and,90,All Years
the bottom the,89,All Years
decline for the,88,All Years
dev n chromis,88,All Years
green algae were,88,All Years
n chromis punctipinnis,88,All Years
ophiothrix spiculata was,88,All Years
relatively low for,88,All Years
sbi southeast sealion,88,All Years
sci pelican bay,88,All Years
smi hare rock,88,All Years
as usual for,87,All Years
at two sites,87,All Years
but none were,87,All Years
c c c,87,All Years
emb iotoca jacksoni,87,All Years
for this species,87,All Years
m quadrat data,87,All Years
relatively high for,87,All Years
smi wyckoff ledge,87,All Years
up to three,87,All Years
ani admirals reef,86,All Years
can be found,86,All Years
coralline algae covered,86,All Years
high for this,86,All Years
rockfish was observed,86,All Years
sci frys harbor,86,All Years
sci gull island,86,All Years
sri rodes reef,86,All Years
this site was,86,All Years
1m macrocystis pyrifera,85,All Years
adult 1m macrocystis,85,All Years
adult 1m number,85,All Years
anar ancc anlc,85,All Years
found for size,85,All Years
johnsons lee south,85,All Years
of stipes holdfast,85,All Years
of the sites,85,All Years
sbi arch point,85,All Years
sci scorpion anchorage,85,All Years
stipes holdfast diameter,85,All Years
were all common,85,All Years
ani cathedral cove,84,All Years
ani landing cove,84,All Years
count santa cruz,84,All Years
cove anacapa island,84,All Years
dev black and,84,All Years
for size frequency,84,All Years
johnsons lee north,84,All Years
m species mean,84,All Years
per m species,84,All Years
sebastes mystinus were,84,All Years
this site in,84,All Years
transects variable value,84,All Years
bottom similar to,83,All Years
sbi cat canyon,83,All Years
the bottom similar,83,All Years
a mature kelp,82,All Years
be found in,82,All Years
cover increased to,82,All Years
lower than last,82,All Years
mm similar to,82,All Years
scfh scpb scsa,82,All Years
subadult and juvenile,82,All Years
transect with a,82,All Years
density remained low,81,All Years
the same at,81,All Years
were observed several,81,All Years
highest recorded since,80,All Years
is one of,80,All Years
the site miscellaneous,80,All Years
up to five,80,All Years
as well as,79,All Years
invertebrates on rpcs,79,All Years
the temperature logger,79,All Years
sargassum horneri was,78,All Years
scpb scsa scyb,78,All Years
seb astes serranoides,78,All Years
similar to other,78,All Years
this is one,78,All Years
a depth of,77,All Years
california sheephead juv,77,All Years
location smwl smhr,77,All Years
none observed on,77,All Years
of the kelp,77,All Years
yellowtail rockfish juv,77,All Years
forest monitoring species,76,All Years
kushner d j,76,All Years
monitoring species list,76,All Years
observed with wasting,76,All Years
seb astes serriceps,76,All Years
to decline for,76,All Years
forest monitoring sites,75,All Years
giganteus ,75,All Years
island rodes reef,75,All Years
m2 the lowest,75,All Years
no juveniles observed,75,All Years
same as last,75,All Years
se sea lion,75,All Years
species list page,75,All Years
the fish count,75,All Years
was common and,75,All Years
abundant along the,74,All Years
but similar to,74,All Years
californica was common,74,All Years
on the bottom,74,All Years
one juvenile sebastes,74,All Years
similar to what,74,All Years
cystoseira spp were,73,All Years
density recorded since,73,All Years
increase for the,73,All Years
observed during rpcs,73,All Years
of the site,73,All Years
purpuratus ,73,All Years
sea urchins were,73,All Years
surfperch were observed,73,All Years
were less abundant,73,All Years
were observed similar,73,All Years
year with a,73,All Years
anlc sbsesl sbap,72,All Years
arm with a,72,All Years
californica was not,72,All Years
giganteum density was,72,All Years
recorded for this,72,All Years
rock wrasse juvenile,72,All Years
yellowtail rockfish juvenile,72,All Years
abundance of fish,71,All Years
ancc anlc sbsesl,71,All Years
data were successfully,71,All Years
in the open,71,All Years
out in the,71,All Years
scgi scfh scpb,71,All Years
were recorded at,71,All Years
adult m pyrifera,69,All Years
from last year’s,69,All Years
scsa scyb anar,69,All Years
scyb anar ancc,69,All Years
up to eight,69,All Years
avg stdev avg,68,All Years
avg stdev commonname,68,All Years
commonname date observers,68,All Years
cypraea spadicea was,68,All Years
lowest recorded at,68,All Years
megastraea undosa were,68,All Years
observations score score,68,All Years
observers observations score,68,All Years
of avg stdev,68,All Years
of of avg,68,All Years
score abundance abundance,68,All Years
score score abundance,68,All Years
stdev avg stdev,68,All Years
stdev commonname date,68,All Years
this category were,68,All Years
this is a,68,All Years
data can be,67,All Years
figures summarizing rdfc,67,All Years
found in appendix,67,All Years
purpuratus s franciscanus,67,All Years
rare at a,67,All Years
rdfc data can,67,All Years
relative abundance of,67,All Years
summarizing rdfc data,67,All Years
to increase for,67,All Years
we began monitoring,67,All Years
a total of,66,All Years
cover was recorded,66,All Years
diaperoecia californica was,66,All Years
giganteus were common,66,All Years
their densities were,66,All Years
visual fish transects,66,All Years
yellow rockfish were,66,All Years
cases chromis punctipinnis,65,All Years
continues to be,65,All Years
dev cases chromis,65,All Years
during the fish,65,All Years
from recent years,65,All Years
m a decrease,65,All Years
medialuna californiensis halfmoon,65,All Years
of fish at,65,All Years
seb astes atrovirens,65,All Years
date year month,64,All Years
density increased to,64,All Years
distributions continued santa,64,All Years
macrocystis eisenia pterygophora,64,All Years
per transect total,64,All Years
sampled for all,64,All Years
species date year,64,All Years
the transect but,64,All Years
total fish abundance,64,All Years
transect total fish,64,All Years
was conducted on,64,All Years
anacapa and santa,63,All Years
astrangia lajollaensis were,63,All Years
cases green algae,63,All Years
cases macrocystis pyrifera,63,All Years
dev cases green,63,All Years
dev cases macrocystis,63,All Years
m2 tethya aurantia,63,All Years
megathura crenulata density,63,All Years
n santa barbara,63,All Years
per transect species,63,All Years
rare with none,63,All Years
the m pyrifera,63,All Years
the transect was,63,All Years
transect species date,63,All Years
university of california,63,All Years
was estimated at,63,All Years
abundant at a,62,All Years
centrostephanus coronatus was,62,All Years
one adult sebastes,62,All Years
per m2 tethya,62,All Years
pisaster giganteus was,62,All Years
all data were,61,All Years
and all data,61,All Years
day mean std,61,All Years
lithopoma astraea undosum,61,All Years
lophogorgia chilensis were,61,All Years
month day mean,61,All Years
observed two adult,61,All Years
pachythyone rubra was,61,All Years
sea urchin barrens,61,All Years
smwl smhr srjlno,61,All Years
strongylocentrotus spp were,61,All Years
were successfully downloaded,61,All Years
year month day,61,All Years
an an an,60,All Years
arms at this,60,All Years
higher than last,60,All Years
lowest density recorded,60,All Years
m2 respectively and,60,All Years
ophiothrix spiculata were,60,All Years
panulirus interruptus were,60,All Years
sbsesl sbap sbcat,60,All Years
srrr scgi scfh,60,All Years
the arms at,60,All Years
up to four,60,All Years
abundance abundance common,59,All Years
avg count observations,59,All Years
avg stdev observers,59,All Years
count avg stdev,59,All Years
count observations abundance,59,All Years
high densities of,59,All Years
observations abundance abundance,59,All Years
observers avg score,59,All Years
parastichopus parvimensis was,59,All Years
present with a,59,All Years
pycnopodia helianthoides was,59,All Years
stdev count avg,59,All Years
stdev observers avg,59,All Years
adult chromis punctipinnis,58,All Years
and ophiothrix spiculata,58,All Years
annual species list,58,All Years
appendix l annual,58,All Years
at the remaining,58,All Years
l annual species,58,All Years
meter quadrat data,58,All Years
oxyleb ius pictus,58,All Years
per m continued,58,All Years
the channel islands,58,All Years
up to seven,58,All Years
were dominated by,58,All Years
were similar to,58,All Years
anar anlc pp,57,All Years
and no juvenile,57,All Years
anlc pp prf,57,All Years
confined to crevices,57,All Years
department of fish,57,All Years
efc species site,57,All Years
island hare rock,57,All Years
kh efc species,57,All Years
last year no,57,All Years
location anar anlc,57,All Years
m date mean,57,All Years
pp prf kh,57,All Years
prf kh efc,57,All Years
red algae were,57,All Years
continued location anar,56,All Years
johnson’s lee south,56,All Years
list continued location,56,All Years
meter quadrats with,56,All Years
miguel island hare,56,All Years
species list continued,56,All Years
species max count,56,All Years
were common covering,56,All Years
were sampled for,56,All Years
aplysia californica was,55,All Years
cover of m,55,All Years
were abundant at,55,All Years
a result of,54,All Years
astraea gibberosa was,54,All Years
date black and,54,All Years
franciscanus ,54,All Years
juveniles observed up,54,All Years
much of the,54,All Years
pecies max count,54,All Years
present along the,54,All Years
s pecies max,54,All Years
the site no,54,All Years
was observed in,54,All Years
were abundant in,54,All Years
avg abundance maximum,53,All Years
bare substrate covered,53,All Years
crassedoma hinnites giganteum,53,All Years
density decreased to,53,All Years
have observed at,53,All Years
iotoca jacksoni adult,53,All Years
observed chromis punctipinnis,53,All Years
of stdev avg,53,All Years
on rpcs were,53,All Years
patiria miniata was,53,All Years
stdev count observers,53,All Years
strongylocentrotus franciscanus cases,53,All Years
strongylocentrotus purpuratus barrens,53,All Years
styela montereyensis was,53,All Years
the highest cover,53,All Years
annual report table,52,All Years
crassedoma giganteum was,52,All Years
cruz island yellowbanks,52,All Years
during band transects,52,All Years
megathura crenulata was,52,All Years
nigricans were observed,52,All Years
purple sea urchin,52,All Years
pyrifera canopy cover,52,All Years
remained about the,52,All Years
rosa island rodes,52,All Years
than the past,52,All Years
the main transect,52,All Years
general search cases,51,All Years
horneri was not,51,All Years
in the kelp,51,All Years
miniata ,51,All Years
national park technical,51,All Years
park technical report,51,All Years
recent years at,51,All Years
relatively abundant with,51,All Years
search ,51,All Years
spadicea density was,51,All Years
species figures summarizing,51,All Years
the pisco fish,51,All Years
were recorded during,51,All Years
algae was abundant,50,All Years
by ucsb pisco,50,All Years
conducted by ucsb,50,All Years
count was conducted,50,All Years
embiotoca lateralis were,50,All Years
fish transects including,50,All Years
macrocystis pyrifera holdfast,50,All Years
noticeably more abundant,50,All Years
pisco fish sampling,50,All Years
reef anacapa island,50,All Years
site with a,50,All Years
sites where visual,50,All Years
strongylocentrotus franciscanus were,50,All Years
than in recent,50,All Years
the low lying,50,All Years
to what we,50,All Years
transects including size,50,All Years
where visual fish,50,All Years
with all sizes,50,All Years
at a depth,49,All Years
cover decreased to,49,All Years
fish count was,49,All Years
for the first,49,All Years
on quadrats and,49,All Years
paralab rax clathratus,49,All Years
patiria miniata cases,49,All Years
pyrifera holdfast diameters,49,All Years
sr sr sr,49,All Years
urticina lofotensis was,49,All Years
adult subadult and,48,All Years
astes atrovirens adult,48,All Years
at one site,48,All Years
corynactis californica cover,48,All Years
fish transects variable,48,All Years
quadrats band transects,48,All Years
status mature kelp,48,All Years
was observed no,48,All Years
were relatively uncommon,48,All Years
all sizes present,47,All Years
and juveniles were,47,All Years
californiensis halfmoon were,47,All Years
common along the,47,All Years
cruz island potato,47,All Years
developing kelp forest,47,All Years
island arch point,47,All Years
island potato pasture,47,All Years
macrocystis pyrifera canopy,47,All Years
macrocystis pyrifera plants,47,All Years
mean size was,47,All Years
rax clathratus adult,47,All Years
rubra was not,47,All Years
size frequencies for,47,All Years
the east end,47,All Years
urchin wasting syndrome,47,All Years
abundance abundance black,46,All Years
californica had a,46,All Years
davis g e,46,All Years
decreased from last,46,All Years
general search search,46,All Years
kelletia kelletii was,46,All Years
kelp forest monitoirng,46,All Years
national park tech,46,All Years
park tech report,46,All Years
phragmatopoma californica was,46,All Years
rare with only,46,All Years
search search method,46,All Years
tech report chis,46,All Years
the past two,46,All Years
top of the,46,All Years
was present at,46,All Years
