SiteNumber,IslandCode,IslandName,SiteCode,SiteName,SurveyYear,Species,ScientificName,CommonName,ReserveStatus,Reference,Date,Area_Surveyed,Total_Count,Percent_Cover,SD,SE
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,9001,Serpulorbis squamigerus,scaled wormsnail,Outside,FALSE,1986-07-09,1000,2,0.2,0.4,0.0126
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,10001,Bryozoa,bryozoans (miscellaneous),Outside,FALSE,1986-07-09,1000,55,5.5,2.8284,0.0894
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,10002,Diaperoecia californica,Southern staghorn bryozoan,Outside,FALSE,1986-07-09,1000,2,0.2,0.4,0.0126
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,12001,Tunicata,tunicates,Outside,FALSE,1986-07-09,1000,22,2.1999999999999997,1.2689,0.0401
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,13001,Miscellaneous Invertebrates including Ophiothrix spiculata,Miscellaneous Invertebrates including Ophiothrix spiculata,Outside,FALSE,1986-07-09,1000,58,5.800000000000001,2.1932,0.0694
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,15001,Bare Substrate,Bare Substrate,Outside,FALSE,1986-07-09,1000,11,1.0999999999999999,0.9165,0.029
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,15002,Rock,Rock,Outside,FALSE,1986-07-09,1000,882,88.2,4.6683,0.1476
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,15003,Cobble,Cobble,Outside,FALSE,1986-07-09,1000,27,2.7,1.5253,0.0482
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,15004,Sand,Sand,Outside,FALSE,1986-07-09,1000,91,9.1,3.6272,0.1147
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1001,Chlorophyta,green algae,Outside,FALSE,1987-08-11,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,2001,Phaeophyta,brown algae (miscellaneous),Outside,FALSE,1987-08-11,1000,6,0.6,0.5228,0.0165
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,2003,Desmarestia,acid weed,Outside,FALSE,1987-08-11,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,2007,Cystoseira,bladder chain kelp,Outside,FALSE,1987-08-11,1000,15,1.5,1.291,0.0408
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,2014,Laminaria farlowii,"oar weed, all",Outside,FALSE,1987-08-11,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,3001,Rhodophyta,red algae (miscellaneous),Outside,FALSE,1987-08-11,1000,56,5.6000000000000005,2.5047,0.0792
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,3002,articulated coralline algae,articulated coralline algae,Outside,FALSE,1987-08-11,1000,34,3.4000000000000004,1.578,0.0499
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,3003,encrusting coralline algae,encrusting coralline algae,Outside,FALSE,1987-08-11,1000,287,28.7,5.5687,0.1761
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,3004,Gelidium,agar weed,Outside,FALSE,1987-08-11,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,3005,Gigartina,sea tongue,Outside,FALSE,1987-08-11,1000,1,0.1,0.2,0.0063
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,4001,Plantae,miscellaneous plants (ie: diatoms),Outside,FALSE,1987-08-11,1000,1,0.1,0.2,0.0063
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,5001,Porifera,sponges,Outside,FALSE,1987-08-11,1000,15,1.5,1.0801,0.0342
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,6003,Corynactis californicus,club-tipped anemone,Outside,FALSE,1987-08-11,1000,9,0.8999999999999999,0.7,0.0221
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,6004,Balanophyllia elegans,orange cup coral,Outside,FALSE,1987-08-11,1000,34,3.4000000000000004,1.5513,0.0491
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,6005,Astrangia lajollaensis,La Jolla cup coral,Outside,FALSE,1987-08-11,1000,13,1.3,0.8226,0.026
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,7001,Diopatra ornata,ornate tube worm,Outside,FALSE,1987-08-11,1000,120,12,5.1397,0.1625
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,7002,Phragmatopoma californica,colonial sand-tube worm,Outside,FALSE,1987-08-11,1000,4,0.4,0.4726,0.0149
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,9001,Serpulorbis squamigerus,scaled wormsnail,Outside,FALSE,1987-08-11,1000,1,0.1,0.2,0.0063
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,10001,Bryozoa,bryozoans (miscellaneous),Outside,FALSE,1987-08-11,1000,139,13.900000000000002,4.5651,0.1444
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,10002,Diaperoecia californica,Southern staghorn bryozoan,Outside,FALSE,1987-08-11,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,12001,Tunicata,tunicates,Outside,FALSE,1987-08-11,1000,17,1.7000000000000002,1.1446,0.0362
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,13001,Miscellaneous Invertebrates including Ophiothrix spiculata,Miscellaneous Invertebrates including Ophiothrix spiculata,Outside,FALSE,1987-08-11,1000,84,8.4,2.4304,0.0769
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,15001,Bare Substrate,Bare Substrate,Outside,FALSE,1987-08-11,1000,206,20.599999999999998,7.5954,0.2402
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,15002,Rock,Rock,Outside,FALSE,1987-08-11,1000,707,70.7,9.1857,0.2905
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,15003,Cobble,Cobble,Outside,FALSE,1987-08-11,1000,48,4.8,2.9143,0.0922
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,15004,Sand,Sand,Outside,FALSE,1987-08-11,1000,245,24.5,7.7244,0.2443
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1001,Chlorophyta,green algae,Outside,FALSE,1988-07-27,1000,2,0.2,0.2769,0.0088
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,2001,Phaeophyta,brown algae (miscellaneous),Outside,FALSE,1988-07-27,1000,2,0.2,0.2769,0.0088
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,2003,Desmarestia,acid weed,Outside,FALSE,1988-07-27,1000,730,73,9.0323,0.2856
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,2007,Cystoseira,bladder chain kelp,Outside,FALSE,1988-07-27,1000,6,0.6,0.8307,0.0263
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,2014,Laminaria farlowii,"oar weed, all",Outside,FALSE,1988-07-27,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,3001,Rhodophyta,red algae (miscellaneous),Outside,FALSE,1988-07-27,1000,374,37.4,7.7485,0.245
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,3002,articulated coralline algae,articulated coralline algae,Outside,FALSE,1988-07-27,1000,68,6.800000000000001,3.9107,0.1237
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,3003,encrusting coralline algae,encrusting coralline algae,Outside,FALSE,1988-07-27,1000,274,27.400000000000002,5.3188,0.1682
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,3004,Gelidium,agar weed,Outside,FALSE,1988-07-27,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,3005,Gigartina,sea tongue,Outside,FALSE,1988-07-27,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,4001,Plantae,miscellaneous plants (ie: diatoms),Outside,FALSE,1988-07-27,1000,1,0.1,0.2,0.0063
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,5001,Porifera,sponges,Outside,FALSE,1988-07-27,1000,9,0.8999999999999999,0.6377,0.0202
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,6003,Corynactis californicus,club-tipped anemone,Outside,FALSE,1988-07-27,1000,1,0.1,0.2,0.0063
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,6004,Balanophyllia elegans,orange cup coral,Outside,FALSE,1988-07-27,1000,45,4.5,1.6073,0.0508
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,6005,Astrangia lajollaensis,La Jolla cup coral,Outside,FALSE,1988-07-27,1000,6,0.6,0.5972,0.0189
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,7001,Diopatra ornata,ornate tube worm,Outside,FALSE,1988-07-27,1000,152,15.2,5.9855,0.1893
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,7002,Phragmatopoma californica,colonial sand-tube worm,Outside,FALSE,1988-07-27,1000,2,0.2,0.2769,0.0088
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,9001,Serpulorbis squamigerus,scaled wormsnail,Outside,FALSE,1988-07-27,1000,2,0.2,0.2769,0.0088
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,10001,Bryozoa,bryozoans (miscellaneous),Outside,FALSE,1988-07-27,1000,102,10.2,2.6758,0.0846
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,10002,Diaperoecia californica,Southern staghorn bryozoan,Outside,FALSE,1988-07-27,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,12001,Tunicata,tunicates,Outside,FALSE,1988-07-27,1000,14,1.4000000000000001,1.0033,0.0317
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,13001,Miscellaneous Invertebrates including Ophiothrix spiculata,Miscellaneous Invertebrates including Ophiothrix spiculata,Outside,FALSE,1988-07-27,1000,115,11.5,3.5473,0.1122
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,15001,Bare Substrate,Bare Substrate,Outside,FALSE,1988-07-27,1000,147,14.7,8.5796,0.2713
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,15002,Rock,Rock,Outside,FALSE,1988-07-27,1000,747,74.7,9.1119,0.2881
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,15003,Cobble,Cobble,Outside,FALSE,1988-07-27,1000,41,4.1000000000000005,2.7215,0.0861
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,15004,Sand,Sand,Outside,FALSE,1988-07-27,1000,212,21.2,8.4168,0.2662
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,1001,Chlorophyta,green algae,Outside,FALSE,1989-08-16,1000,3,0.3,0.3317,0.0105
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,2001,Phaeophyta,brown algae (miscellaneous),Outside,FALSE,1989-08-16,1000,18,1.7999999999999998,1.7682,0.0559
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,2003,Desmarestia,acid weed,Outside,FALSE,1989-08-16,1000,23,2.3,1.579,0.0499
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,2007,Cystoseira,bladder chain kelp,Outside,FALSE,1989-08-16,1000,12,1.2,0.9626,0.0304
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,2014,Laminaria farlowii,"oar weed, all",Outside,FALSE,1989-08-16,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,3001,Rhodophyta,red algae (miscellaneous),Outside,FALSE,1989-08-16,1000,764,76.4,6.1852,0.1956
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,3002,articulated coralline algae,articulated coralline algae,Outside,FALSE,1989-08-16,1000,103,10.299999999999999,4.6665,0.1476
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,3003,encrusting coralline algae,encrusting coralline algae,Outside,FALSE,1989-08-16,1000,250,25,6.8313,0.216
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,3004,Gelidium,agar weed,Outside,FALSE,1989-08-16,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,3005,Gigartina,sea tongue,Outside,FALSE,1989-08-16,1000,13,1.3,0.9183,0.029
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,4001,Plantae,miscellaneous plants (ie: diatoms),Outside,FALSE,1989-08-16,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,5001,Porifera,sponges,Outside,FALSE,1989-08-16,1000,13,1.3,0.7703,0.0244
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,6003,Corynactis californicus,club-tipped anemone,Outside,FALSE,1989-08-16,1000,0,0,0,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,6004,Balanophyllia elegans,orange cup coral,Outside,FALSE,1989-08-16,1000,55,5.5,2.2174,0.0701
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,6005,Astrangia lajollaensis,La Jolla cup coral,Outside,FALSE,1989-08-16,1000,4,0.4,0.3742,0.0118
1,SM,San Miguel Island,WL,Wyckoff Ledge,1989,7001,Diopatra ornata,ornate tube worm,Outside,FALSE,1989-08-16,1000,135,13.5,5.1881,0.1641
