Scientific_Name,ScientificName,CommonName,Data_Type,Classification,Targeted_Broad,ScientificName_Short_Form
larval_fish_spp.,larval fish spp.,larval fish spp.,Count,Fish,Non-targeted,NA
sculpin_spp.,sculpin spp.,sculpin spp.,Count,Fish,Non-targeted,NA
painted_greenling,Oxylebius pictus,painted greenling,Count,Fish,Non-targeted,O. pictus
rainbow_surfperch,Hypsurus caryi,rainbow surfperch,Count,Fish,Targeted,H. caryi
Rockfish_YOY,Rockfish YOY,Rockfish YOY,Count,Fish,Targeted,NA
surfperch_spp.,surfperch spp.,surfperch spp.,Count,Fish,Non-targeted,NA
shiner_surfperch,Cymatogaster aggregata,shiner surfperch,Count,Fish,Non-targeted,C. aggregata
soupfin_shark,Galeorhinus galeus,soupfin shark,Count,Fish,Targeted,G. galeus
speckled_sanddab,Citharichthys stigmaeus,speckled sanddab,Count,Fish,Targeted,C. stigmaeus
swell_shark,Cephaloscyllium ventriosum,swell shark,Count,Fish,Non-targeted,C. ventriosum
top_smelt,Atherinops affinis,top smelt,Count,Fish,Non-targeted,A. affinis
tubesnout,Aulorhynchus flavidus,tubesnout,Count,Fish,Non-targeted,A. flavidus
zebra_perch,Kyphosus azureus,zebra perch,Count,Fish,Non-targeted,K. azureus
black_rockfish,Sebastes melanops,black rockfish,Count,Fish,Targeted,S. melanops
bocaccio,Sebastes paucispinis,bocaccio,Count,Fish,Targeted,S. paucispinis
kelp_greenling,Hexagrammos decagrammus,kelp greenling,Count,Fish,Targeted,H. decagrammus
prickleback_spp.,prickleback spp.,prickleback spp.,Count,Fish,Non-targeted,NA
spotted_kelpfish,Gibbonsia elegans,spotted kelpfish,Count,Fish,Non-targeted,G. elegans
yellowtail,Seriola lalandi,yellowtail,Count,Fish,Targeted,S. lalandi
barred_sand_bass,Paralabrax nebulifer,barred sand bass,Count,Fish,Targeted,P. nebulifer
California_moray_eel,Gymnothorax mordax,California moray eel,Count,Fish,Non-targeted,G. mordax
grass_rockfish,Sebastes rastrelliger,grass rockfish,Count,Fish,Targeted,S. rastrelliger
horn_shark,Heterodontus francisci,horn shark,Count,Fish,Non-targeted,H. francisci
onespot_fringehead,Neoclinus uninotatus,onespot fringehead,Count,Fish,Non-targeted,N. uninotatus
Pacific_barracuda,Sphryaena argentea,Pacific barracuda,Count,Fish,Targeted,S. argentea
sargo,Anisotremus davidsonii,sargo,Count,Fish,Targeted,A. davidsonii
thornback_ray,Raja clavata,thornback ray,Count,Fish,Non-targeted,R. clavata
yellowfin_fringehead,Neoclinus stephensae,yellowfin fringehead,Count,Fish,Non-targeted,N. stephensae
zebra_goby,Lythrypnus zebra,zebra goby,Count,Fish,Non-targeted,L. zebra
baitfish_spp.,baitfish spp.,baitfish spp.,Count,Fish,Targeted,NA
Pacific_mackerel,Scomber japonicus,Pacific mackerel,Count,Fish,Targeted,S. japonicus
halfbanded_rockfish,Sebastes semicinctus,halfbanded rockfish,Count,Fish,Targeted,S. semicinctus
white_seabass,Atractoscion nobilis,white seabass,Count,Fish,Targeted,A. nobilis
plain_cardinalfish,Apogon atricaudus,plain cardinalfish,Count,Fish,Non-targeted,Apogon atricaudus
giant_black_sea_bass,Stereolepis gigas,giant black sea bass,Count,Fish,Non-targeted,S. gigas
leopard_shark,Triakis semifasciata,leopard shark,Count,Fish,Targeted,T. semifasciata
Pacific_angel_shark,Squatina californica,Pacific angel shark,Count,Fish,Targeted,S. californica
ronquil_spp.,ronquil spp.,ronquil spp.,Count,Fish,Non-targeted,NA
California_halibut,Paralichthys californicus,California halibut,Count,Fish,Targeted,P. californicus
stripedfin_ronquil,Rathbunella hypoplecta,stripedfin ronquil,Count,Fish,Non-targeted,R. hypoplecta
swallowtail_damselfish,Chromis ternatensis,swallowtail damselfish,Count,Fish,Non-targeted,C. ternatensis
clingfish_spp.,clingfish spp.,clingfish spp.,Count,Fish,Non-targeted,NA
vermillion_rockfish,Sebastes miniatus,vermillion rockfish,Count,Fish,Targeted,S. miniatus
wolf_eel,Anarrhichthys ocellatus,wolf eel,Count,Fish,Targeted,A. ocellatus
broadnose_sevengill_shark,Notorynchus cepedianus,broadnose sevengill shark,Count,Fish,Non-targeted,N. cepedianus
sanddab_spp.,sanddab spp.,sanddab spp.,Count,Fish,Targeted,NA
Pacific_bonito,Sarda chiliensis,Pacific bonito,Count,Fish,Targeted,S. chiliensis
plainfin_midshipman,Porichthys notatus,plainfin midshipman,Count,Fish,Non-targeted,P. notatus
sarcastic_fringehead,Neoclinus blanchardi,sarcastic fringehead,Count,Fish,Non-targeted,N. blanchardi
walleye_surfperch,Hyperprosopon argenteum,walleye surfperch,Count,Fish,Non-targeted,H. argenteum
ocean_sunfish,Mola mola,ocean sunfish,Count,Fish,Non-targeted,M. mola
Crassedoma_giganteum,Crassedoma giganteum,rock scallop,Biomass,Invertebrates,Targeted,C. giganteum
Haliotis_rufescens,Haliotis rufescens,red abalone,Biomass,Invertebrates,Targeted,H. rufescens
Kelletia_kelletii,Kelletia kelletii,Kellet's whelk,Biomass,Invertebrates,Targeted,K. kelletii
Lithopoma_gibberosa,Lithopoma gibberosa,red turban snail,Biomass,Invertebrates,Targeted,L. gibberosa
Lophogorgia_chilensis,Lophogorgia chilensis,red gorgonian,Biomass,Invertebrates,Non-targeted,L. chilensis
Lytechinus_anamesus,Lytechinus anamesus,white sea urchin,Biomass,Invertebrates,Non-targeted,L. anamesus
Macrocystis_pyrifera,Macrocystis pyrifera,giant kelp,Biomass,Algae,Targeted,M. pyrifera
Megastraea_undosa,Megastraea undosa,wavy turban snail,Biomass,Invertebrates,Targeted,M. undosa
Megathura_crenulata,Megathura crenulata,giant keyhole limpet,Biomass,Invertebrates,Non-targeted,M. crenulata
Muricea_californica,Muricea californica,California golden gorgonian,Biomass,Invertebrates,Non-targeted,M. californica
Muricea_fruticosa,Muricea fruticosa,brown gorgonian,Biomass,Invertebrates,Non-targeted,M. fruticosa
Patiria_miniata,Patiria miniata,bat star,Biomass,Invertebrates,Non-targeted,P. miniata
Pisaster_giganteus,Pisaster giganteus,giant-spined sea star,Biomass,Invertebrates,Non-targeted,P. giganteus
Pycnopodia_helianthoides,Pycnopodia helianthoides,sunflower star,Biomass,Invertebrates,Non-targeted,P. helianthoides
Strongylocentrotus_franciscanus,Strongylocentrotus franciscanus,red sea urchin,Biomass,Invertebrates,Targeted,S. franciscanus
Strongylocentrotus_purpuratus,Strongylocentrotus purpuratus,purple sea urchin,Biomass,Invertebrates,Non-targeted,S. purpuratus
Tegula_regina,Tegula regina,queen tegula,Biomass,Invertebrates,Non-targeted,T. regina
Tethya_aurantia,Tethya aurantia,orange puffball sponge,Biomass,Invertebrates,Non-targeted,T. aurantia
black_and_yellow_rockfish,Sebastes chrysomelas,black and yellow rockfish,Biomass,Fish,Targeted,S. chrysomelas
black_surfperch,Embiotoca jacksoni,black surfperch,Biomass,Fish,Non-targeted,E. jacksoni
blacksmith,Chromis punctipinnis,blacksmith,Biomass,Fish,Non-targeted,C. punctipinnis
blue_rockfish,Sebastes mystinus,blue rockfish,Biomass,Fish,Targeted,S. mystinus
cabezon,Scorpaenichthys marmoratus,cabezon,Biomass,Fish,Targeted,S. marmoratus
California_scorpionfish,Scorpaena guttata,California scorpionfish,Biomass,Fish,Non-targeted,S. guttata
California_sheephead_female,Semicossyphus pulcher,California sheephead female,Biomass,Fish,Targeted,S. pulcher
California_sheephead_male,Semicossyphus pulcher,California sheephead male,Biomass,Fish,Targeted,S. pulcher
garibaldi,Hypsypops rubicundus,garibaldi,Biomass,Fish,Non-targeted,H. rubicundus
halfmoon,Medialuna californiensis,halfmoon,Biomass,Fish,Non-targeted,M. californiensis
kelp_bass,Paralabrax clathratus,kelp bass,Biomass,Fish,Targeted,P. clathratus
kelp_rockfish,Sebastes atrovirens,kelp rockfish,Biomass,Fish,Targeted,S. atrovirens
lingcod,Ophiodon elongatus,lingcod,Biomass,Fish,Targeted,O. elongatus
ocean_whitefish,Caulolatilus princeps,ocean whitefish,Biomass,Fish,Targeted,C. princeps
olive_rockfish,Sebastes serranoides,olive rockfish,Biomass,Fish,Targeted,S. serranoides
opaleye,Girella nigricans,opaleye,Biomass,Fish,Non-targeted,G. nigricans
pile_perch,Rhacochilus vacca,pile perch,Biomass,Fish,Targeted,R. vacca
rock_wrasse_female,Halichoeres semicinctus,rock wrasse female,Biomass,Fish,Non-targeted,H. semicinctus
rock_wrasse_male,Halichoeres semicinctus,rock wrasse male,Biomass,Fish,Non-targeted,H. semicinctus
rubberlip_surfperch,Rhacochilus toxotes,rubberlip surfperch,Biomass,Fish,Non-targeted,R. toxotes
senorita,Oxyjulis californica,senorita,Biomass,Fish,Non-targeted,O. californica
striped_surfperch,Embiotoca lateralis,striped surfperch,Biomass,Fish,Targeted,E. lateralis
treefish,Sebastes serriceps,treefish,Biomass,Fish,Targeted,S. serriceps
Shannon_Index,Shannon Index,Shannon Index,Index,Calculated Value,Calculated Value,NA
Simpson_Index,Simpson Index,Simpson Index,Index,Calculated Value,Calculated Value,NA
