Indicator,Species,Kingdom,Phylum,Subphylum,Class,Order,Family,Genus,Species (Used by KFM),Status,Currently Accepted Name,Authority (Accepted),ScientificName,ScientificName_Short_Form,CommonName,Common_Name,CommonNameSimple,CommonName_Capitalized,AlternateTaxonName,SpeciesName,ID_Short,ID_Long,Abundance,Abundance_Long,Habitat_Broad,Habitat_Specific,Size_Range,Size_Range_Long,Geographic_Range,Life_Stage,Sex,Trophic_Complete,Trophic_Broad,Color,Classification,Class_Short,oneM_,fiveM_,bands_,rpc_,rdfc_,VFT_,Targeted_Broad,Commercial_Fishery,Recreational_Fishery,Bag_Limit,Legal_Size_cm,Fishery_Info_notes,Useful_Links
TRUE,2004.5,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,Eisenia arborea,Accepted,Eisenia arborea,"J.E. Areschoug, 1877",Eisenia arborea,E. arborea,"Southern sea palm, juvenile",Southern_sea_palm,Southern sea palm,Southern Sea Palm (Juvenile),"Eisenia arborea, juvenile",Eisenia arborea juvenile,single blade ,NA,Abundant,Abundant,Benthic,NA,single blade,single blade,"disjunct pattern: British Columbia, Monterey Bay region, southern California to Baja",Juvenile,NA,producer,Producer,darkslategrey,Algae,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://sbclter.msi.ucsb.edu/external/Documents/Publications/FieldGuide.pdf
TRUE,2005,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,Pterygophora californica,Accepted,Pterygophora californica,"Ruprecht, 1852",Pterygophora californica,Pt. californica,"California sea palm, adult",California_sea_palm,California sea palm,California Sea Palm (Adult),"Pterygophora californica, adult",Pterygophora adult,Long woody stipe flattens at apex to support numerous lateral sporophylls and a terminal blade with a midrib. Medium to dark brown. Juvenile blades similar to L. farlowii but with thickening or midrib.,NA,Abundant,Abundant,Benthic,NA,"stipe to 1 m, 1-2 m common","stipe to 1 m, 1-2 m common",British Columbia to Baja,Adult,NA,producer,Producer,darkseagreen4,Algae,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://sbclter.msi.ucsb.edu/external/Documents/Publications/FieldGuide.pdf
TRUE,2005.5,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,Pterygophora californica,Accepted,Pterygophora californica,"Ruprecht, 1852",Pterygophora californica,Pt. californica,"California sea palm, juvenile",California_sea_palm,California sea palm,California Sea Palm (Juvenile),"Pterygophora californica, juvenile",Pterygophora juvenile,single blade ,NA,Abundant,Abundant,Benthic,NA,single blade,single blade,British Columbia to Baja,Juvenile,NA,producer,Producer,brown4,Algae,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://sbclter.msi.ucsb.edu/external/Documents/Publications/FieldGuide.pdf
TRUE,2006,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria farlowii,Accepted,Laminaria farlowii,"Setchell, 1893",Laminaria farlowii,L. farlowii,"oar weed, adult (>10cm wide)",oar_weed,oar weed,Oar Weed (Adult),"Laminaria farlowii, adult",Laminaria farlowii adult,"Single long, wide blade with deep depressions in longitudinal rows. Dark brown color with short stipe and strong compact branching haptera.",NA,Common,Common,Benthic,NA,"blade to 4 m length, stipe to 7 cm","blade to 4 m length, stipe to 7 cm","South of the Southern Channel Islands to Santa Cruz CA, rare north of Pt Conception",Adult,NA,producer,Producer,mediumseagreen,Algae,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://sbclter.msi.ucsb.edu/external/Documents/Publications/FieldGuide.pdf
TRUE,2006.5,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria farlowii,Accepted,Laminaria farlowii,"Setchell, 1893",Laminaria farlowii,L. farlowii,"oar weed, juvenile (<10cm wide)",oar_weed,oar weed,Oar Weed (Juvenile),"Laminaria farlowii, juvenile",Laminaria farlowii juvenile,blade less than 10cm wide,NA,Common,Common,Benthic,NA,blade less than 10 cm wide,blade less than 10 cm wide,"South of the Southern Channel Islands to Santa Cruz CA, rare north of Pt Conception",Juvenile,NA,producer,Producer,cornsilk4,Algae,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://sbclter.msi.ucsb.edu/external/Documents/Publications/FieldGuide.pdf
TRUE,2007,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Fucales,Sargassaceae,Cystoseira,NA,Unaccepted,Stephanocystis ,"Trevisan, 1843",Cystoseira,Cystoseira,bladder chain kelp,bladder_chain_kelp,bladder chain kelp,Bladder Chain Kelp,Cystoseira spp.,Cystoseira spp.,"Dark brown to light tan bipinnate radial branches flattened in lower portion . Cylindrical holdfast. Often covered in epiphytes. Numerous reproductive fronds rise to the canopy annually, buoyed by many small gas filled bladders",NA,Common,Common,Benthic,NA,"Reproductive fronds to 8 m, thallus to 1 m in height","Reproductive fronds to 8 m, thallus to 1 m in height",Oregon to Baja,NA,NA,producer,Producer,indianred,Algae,A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://sbclter.msi.ucsb.edu/external/Documents/Publications/FieldGuide.pdf
TRUE,2008,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,NA,NA,NA,Accepted,Laminariales,"Migula, 1909","Macrocystis, Pterygophora, and Eisenia combined","M. pyrifera, Pt. californica, and E. arborea combined","giant kelp, California sea palm, Southern sea palm",giant_kelp_California_sea_palm_Southern_sea_palm,"giant kelp, California sea palm, Southern sea palm",Giant Kelp/CA. Sea Palm/S. Sea Palm,Macrocystis/Pterygophora/Eisenia,Macrocystis/Pterygophora/Eisenia,NA,NA,Common,Common,Benthic,NA,NA,NA,Alaska to Baja,NA,NA,producer,Producer,forestgreen,Algae,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://sbclter.msi.ucsb.edu/external/Documents/Publications/FieldGuide.pdf
TRUE,2009,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Alariaceae,Undaria,Undaria pinnatifida,Accepted,Undaria pinnatifida,"(Harvey) Suringar, 1873",Undaria pinnatifida,U. pinnatifida,"wakame, adult",wakame,wakame,Wakame (Adult),"Undaria pinnatifida, adult",Undaria pinnatifida adult,"Sporophytes consist of a pinnately-divided blade with midrib, compressed stipe and fibrous holdfast. When mature, undulate and folded sporophylls form on both sides of stipe","annual kelp native to northeast Asia and Russia. It is the basis of a large aquaculture industry in Japan, Korea and China. Beginning in the 1970s, Undaria expanded into non-native areas, and is now found in Europe, North America, South America and Australasia. It appears that Undaria was spread over long distances primarily by hitchhiking on other aquaculture species (e.g. oysters) or attached as microscopic stages to boat hulls. The ability of microscopic stages to go dormant at high temperatures may allow this species to persist during transport. No other kelp taxa have this trait and there are no other invasive kelps. The ecological impact of Undaria is equivocal since it can be negative in some regions and neutral/positive in others.",Rare,Rare,Benthic,NA,1-2 m,1-2 m,"non-native from Asia, now circumglobal",Adult,NA,producer,Producer,aquamarine4,Algae,A,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://www.cabi.org/isc/datasheet/59979#tosummaryOfInvasiveness
TRUE,2009.5,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Alariaceae,Undaria,Undaria pinnatifida,Accepted,Undaria pinnatifida,"(Harvey) Suringar, 1873",Undaria pinnatifida,U. pinnatifida,"wakame, juvenile",wakame,wakame,Wakame (Juvenile),"Undaria pinnatifida, juvenile",Undaria pinnatifida juvenile,"greater than 0.5 m tall and not reproductive [can have frills on either side of blade above the holdfast, but lacks mature, dark brown sporophylls])","annual kelp native to northeast Asia and Russia. It is the basis of a large aquaculture industry in Japan, Korea and China. Beginning in the 1970s, Undaria expanded into non-native areas, and is now found in Europe, North America, South America and Australasia. It appears that Undaria was spread over long distances primarily by hitchhiking on other aquaculture species (e.g. oysters) or attached as microscopic stages to boat hulls. The ability of microscopic stages to go dormant at high temperatures may allow this species to persist during transport. No other kelp taxa have this trait and there are no other invasive kelps. The ecological impact of Undaria is equivocal since it can be negative in some regions and neutral/positive in others.",Rare,Rare,Benthic,NA,0.5 m to 2 m,0.5 m to 2 m,"non-native from Asia, now circumglobal",Juvenile,NA,producer,Producer,chartreuse4,Algae,A,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://www.cabi.org/isc/datasheet/59979#tosummaryOfInvasiveness
TRUE,2009.75,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Alariaceae,Undaria,Undaria pinnatifida,Accepted,Undaria pinnatifida,"(Harvey) Suringar, 1873",Undaria pinnatifida,Undaria pinnatifida,"wakame, all",wakame,wakame,Wakame (All),"Undaria pinnatifida, juvenile",Undaria pinnatifida juvenile,"less than 0.5 m tall, reproductive sporophyll absent)","annual kelp native to northeast Asia and Russia. It is the basis of a large aquaculture industry in Japan, Korea and China. Beginning in the 1970s, Undaria expanded into non-native areas, and is now found in Europe, North America, South America and Australasia. It appears that Undaria was spread over long distances primarily by hitchhiking on other aquaculture species (e.g. oysters) or attached as microscopic stages to boat hulls. The ability of microscopic stages to go dormant at high temperatures may allow this species to persist during transport. No other kelp taxa have this trait and there are no other invasive kelps. The ecological impact of Undaria is equivocal since it can be negative in some regions and neutral/positive in others.",Rare,Rare,Benthic,NA,to 0.5 m tall,to 0.5 m tall,"non-native from Asia, now circumglobal",Juvenile,NA,producer,Producer,chartreuse4,Algae,A,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,https://www.cabi.org/isc/datasheet/59979#tosummaryOfInvasiveness
TRUE,2010,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera,Accepted,Macrocystis pyrifera,"(Linnaeus) C. Agardh, 1824",Macrocystis pyrifera,M. pyrifera,"giant kelp, all",giant_kelp,giant kelp,Giant Kelp (All),"Macrocystis pyrifera, all",Macrocystis pyrifera,The largest of kelps possessing many round stipes each bearing numerous blades attached by gas filled floats. Large conical holdfast of root like haptera.,NA,Abundant,Abundant,Benthic,NA,to 30 m,to 30 m,"SE Alaska to northern Baja, temperate waters of S. hemisphere",All,NA,producer,Producer,forestgreen,Algae,A,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Targeted,Targeted,Non-targeted,NA,NA,NA,NA
TRUE,2011,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum muticum,Accepted,Sargassum muticum,"(Yendo) Fensholt, 1955",Sargassum muticum,S. muticum,Japanese seaweed,Japanese_seaweed,Japanese seaweed,Wire-weed,Sargassum muticum,Sargassum muticum,Large fucoid alga with small leaf like blades and toothed margins that occur singly along the thallus. Medium to dark brown in color. Small cylindrical vesicles borne in clusters.,NA,Common,Common,Benthic,NA,"to 2 m height, blades to 10 cm","to 2 m height, blades to 10 cm","Native to Japan, now also Baja to Alaska",NA,NA,producer,Producer,indianred1,Algae,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,NA
TRUE,2012,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,Eisenia arborea,Accepted,Eisenia arborea,"J.E. Areschoug, 1877",Eisenia arborea,E. arborea,"Southern sea palm, all",Southern_sea_palm,Southern sea palm,Southern Sea Palm (All),"Eisenia arborea, all",Eisenia arborea,Erect tree-like stipe that terminates into two branches bearing leafy blades with toothed margins,NA,Abundant,Abundant,Benthic,NA,1-2 m in height,1-2 m in height,"disjunct pattern: British Columbia, Monterey Bay region, southern California to Baja",All,NA,producer,Producer,darkslategrey,Algae,A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,NA
TRUE,2013,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,Pterygophora californica,Accepted,Pterygophora californica,"Ruprecht, 1852",Pterygophora californica,Pt. californica,"California sea palm, all",California_sea_palm,California sea palm,California Sea Palm (All),"Pterygophora californica, all",Pterygophora,Long woody stipe flattens at apex to support numerous lateral sporophylls and a terminal blade with a midrib. Medium to dark brown. Juvenile blades similar to L. farlowii but with thickening or midrib.,NA,Abundant,Abundant,Benthic,NA,"stipe to 1 m, 1-2 m common","stipe to 1 m, 1-2 m common",British Columbia to Baja,All,NA,producer,Producer,darkseagreen4,Algae,A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,NA
TRUE,2014,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria farlowii,Accepted,Laminaria farlowii,"Setchell, 1893",Laminaria farlowii,L. farlowii,"oar weed, all",oar_weed,oar weed,Oar Weed (All),"Laminaria farlowii, all",Laminaria farlowii,"Single long, wide blade with deep depressions in longitudinal rows. Dark brown color with short stipe and strong compact branching haptera.",NA,Common,Common,Benthic,NA,"blade to 4 m length, stipe to 7 cm","blade to 4 m length, stipe to 7 cm","South of the Southern Channel Islands to Santa Cruz CA, rare north of Pt Conception",All,NA,producer,Producer,bisque2,Algae,A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,NA
TRUE,2015,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Costariaceae,Dictyoneuropsis/Agarum,Dictyoneuropsis reticulata/Agarum fimbriatum,Unaccepted,Dictyoneurum reticulatum/Neoagarum fimbriatum,"(De A.Saunders) P.C.Silva, 2008/ (Harvey) H.Kawai & T.Hanyuda, 2017",Dictyoneuropsis reticulata/Agarum fimbriatum,D. reticulata/A. fimbriatum,"Dictyoneuropsis reticulata/Agarum fimbriatum, adult (>10cm wide)",net_of_cords_kelp/fringed_sieve_kelp,net-of-cords kelp/fringed sieve kelp,Net-of-cords Kelp/Fringed Sieve Kelp (Adult),"Dictyoneuropsis reticulata/Agarum fimbriatum, adult",Dictyoneuropsis reticulata/Agarum fimbriatum adult,"long narrow blades with network of ridges, giving a  wrinkled or bullate texture. May or may not have a midrib",NA,Uncommon,Uncommon,Benthic,NA,"to 1 m, 4-8 cm wide","to 1 m, 4-8 cm wide",British Columbia to north Channel Islands,Adult,NA,producer,Producer,mediumorchid3,Algae,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,NA
TRUE,2015.5,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Laminariales,Costariaceae,Dictyoneuropsis/Agarum,Dictyoneuropsis reticulata/Agarum fimbriatum,Unaccepted,Dictyoneurum reticulatum/Neoagarum fimbriatum,"(De A.Saunders) P.C.Silva, 2008/ (Harvey) H.Kawai & T.Hanyuda, 2018",Dictyoneuropsis reticulata/Agarum fimbriatum,D. reticulata/A. fimbriatum,"Dictyoneuropsis reticulata/Agarum fimbriatum, juvenile (<10cm wide)",net_of_cords_kelp/fringed_sieve_kelp,net-of-cords kelp/fringed sieve kelp,Net-of-cords Kelp/Fringed Sieve Kelp (Juvenile),"Dictyoneuropsis reticulata/Agarum fimbriatum, juvenile",Dictyoneuropsis reticulata/Agarum fimbriatum juvenile,"long narrow blades with network of ridges, giving a  wrinkled or bullate texture. May or may not have a midrib",NA,Uncommon,Uncommon,Benthic,NA,"to 1 m, 4-8 cm wide","to 1 m, 4-8 cm wide",British Columbia to north Channel Islands,Juvenile,NA,producer,Producer,mediumorchid4,Algae,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,NA
TRUE,2016,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum horneri,Accepted,Sargassum horneri,"(Turner) C.Agardh, 1820",Sargassum horneri,S. horneri,"Sargassum horneri, adult (>50cm or recepticles present)",devil_weed,devil weed,Devil Weed (Adult),"Sargassum horneri, adult",Sargassum horneri adult (>0.5m tall),Fucoid alga with pointed leaf like blades and teardrop shaped vesicles. Juveniles (< 10 cm height) low lying fernlike blades that can form dense mats.,NA,Common,Common,Benthic,NA,to 4 m tall,to 4 m tall,NA,Adult,NA,producer,Producer,chocolate1,Algae,A,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,NA
TRUE,2016.5,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum horneri,Accepted,Sargassum horneri,"(Turner) C.Agardh, 1820",Sargassum horneri,S. horneri,"Sargassum horneri, juvenile (<50cm and no recepticles)",devil_weed,devil weed,Devil Weed (Juvenile),"Sargassum horneri, juvenile",Sargassum horneri juvenile (<0.5m tall),less than 0.5m tall,NA,Common,Common,Benthic,NA,to 0.5 m tall,to 0.5 m tall,NA,Juvenile,NA,producer,Producer,burlywood4,Algae,A,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,NA
TRUE,2017,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum horneri,Accepted,Sargassum horneri,"(Turner) C.Agardh, 1821",Sargassum horneri,S. horneri,"Sargassum horneri, all",devil_weed,devil weed,Devil Weed (All),"Sargassum horneri, all",Sargassum horneri,Fucoid alga with pointed leaf like blades and teardrop shaped vesicles. Juveniles (< 10 cm height) low lying fernlike blades that can form dense mats. Greater than 1m tall or reproductive sporophylls present,NA,Common,Common,Benthic,NA,0.5 m to 4 m tall,0.5 m to 4 m tall,NA,All,NA,producer,Producer,chocolate1,Algae,A,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,NA
TRUE,2016.75,Chromista,Ochrophyta,Phaeista,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum horneri,Accepted,Sargassum horneri,"(Turner) C.Agardh, 1821",Sargassum horneri,S. horneri,devil weed (all),devil_weed,devil weed,Devil Weed (All),"Sargassum horneri, all",Sargassum horneri,Fucoid alga with pointed leaf like blades and teardrop shaped vesicles. Juveniles (< 10 cm height) low lying fernlike blades that can form dense mats. Greater than 1m tall or reproductive sporophylls present,NA,Common,Common,Benthic,NA,0.5 m to 4 m tall,0.5 m to 4 m tall,NA,All,NA,producer,Producer,chocolate1,Algae,A,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Non-targeted,Non-targeted,Non-targeted,NA,NA,NA,NA
