ScientificName,Independent_variable,Range,a,b,r2,p,N,RMSE,Smearing_estimate,Source,CommonName,LW_Equation
Euherdmania claviformis,percent cover,5 to 95,NA,0.792,0.98,<.001,18,NA,NA,Reed 2016,NA,W(g)=PC*0.792
Polyclinum planum,body length,21 to 210,0.002,2.224,0.92,<.001,14,0.4496,1.1,Reed 2016,NA,W(g)=0.002*L^2.224
Pycnoclavella stanleyi,percent cover,5 to 95,NA,0.449,0.96,<.001,28,NA,NA,Reed 2016,NA,W(g)=PC*0.449
Ritterella aequalisiphonis,percent cover,5 to 75,NA,1.423,0.98,<.001,11,NA,NA,Reed 2016,NA,W(g)=PC*1.423
Styela montereyensis,siphon diameter,4 to 25,0.029,2.211,0.85,<.001,61,0.3846,1.09,Reed 2016,stalked tunicate,W(g)=0.029*L^2.211
Trididemnun opacum,percent cover,5 to 65,NA,0.423,0.95,<.001,22,NA,NA,Reed 2016,NA,W(g)=PC*0.423
Megastraea undosa,shell length,NA,6.50E-04,2.823,NA,NA,NA,NA,NA,See L. Gibberosa,wavy turban snail,W(g)=0.00065*L^2.823
Tegula regina,shell length,NA,6.50E-04,2.823,NA,NA,NA,NA,NA,See L. Gibberosa,queen tegula,W(g)=0.00065*L^2.823
Macrocystis pyrifera,stipe density,NA,NA,0.008477333,NA,NA,NA,NA,NA,Rassweiler 2018,giant kelp,W(g)=SD*0.008477333*1000
Haliotis fulgens,shell length,30 to 171,4.20E-04,2.797,0.95,<.001,25,0.2401,1.03,See red abalone,green abalone,W(g)=0.00042*L^2.797
Haliotis corrugata,shell length,30 to 171,4.20E-04,2.797,0.95,<.001,25,0.2401,1.03,See red abalone,pink abalone,W(g)=0.00042*L^2.797
