"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","SurveyYear","SurveyDate","PermanentObserverNumber","Species","ScientificName","CommonName","Marker","Height_cm","Width_cm","Count"
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23636,100,60,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23637,101,48,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23638,110,70,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23639,126,110,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23640,130,90,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23641,130,90,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23642,130,110,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23643,130,120,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23644,134,157,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23645,148,95,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23646,150,140,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1985,8/6/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23647,150,100,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23912,3,1,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23913,4,8,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23914,4,3,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23915,5,5,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23916,5,4,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23917,7,10,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23918,7,9,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23919,8,9,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23920,9,8,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23921,10,5,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23922,15,10,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23923,18,9,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23924,18,17,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23925,18,10,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23926,19,14,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23927,21,9,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23928,23,5,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1986,7/29/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23929,25,22,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24116,7,7,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24117,7,5,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24118,8,12,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24119,9,11,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24120,9,14,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24121,11,8,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24122,11,9,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24123,14,9,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24124,16,9,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24125,17,24,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24126,17,6,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24127,19,23,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24128,19,11,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24129,19,17,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24130,20,14,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24131,21,12,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24132,21,12,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24133,24,24,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24134,24,19,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24135,27,17,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24136,27,16,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24137,27,27,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24138,28,22,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24139,29,18,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24140,29,12,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24141,30,18,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24142,30,24,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24143,31,28,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24144,33,23,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1987,8/27/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24145,33,18,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1988,8/18/1988 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24420,30,12,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1988,8/18/1988 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24421,25,14,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1988,8/18/1988 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24422,16,9,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1988,8/18/1988 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24423,27,25,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1988,8/18/1988 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24424,41,18,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1988,8/18/1988 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24425,17,21,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1988,8/18/1988 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24426,18,19,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1988,8/18/1988 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24427,23,27,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1988,8/18/1988 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24428,26,23,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",1988,8/18/1988 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24429,33,19,1
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2007,9/24/2007 0:00:00,138,6006.00,"Lophogorgia chilensis","red gorgonian",36400,12,10,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1984,6/1/1984 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23431,79,25,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1984,6/1/1984 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23432,72,32,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1984,6/1/1984 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23433,32,6,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1984,6/1/1984 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23434,80,32,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1984,6/1/1984 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23435,54,30,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23648,51,112,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23649,53,106,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23650,92,97,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23651,105,59,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23652,110,150,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23653,114,59,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23654,120,160,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23655,122,80,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23656,126,78,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23657,127,43,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23658,128,78,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23659,131,112,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23660,138,127,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23661,140,122,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23662,141,98,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23663,144,128,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23664,151,142,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23665,152,123,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23666,155,170,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1985,6/10/1985 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23667,170,142,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23930,5,7,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23931,7,9,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23932,8,12,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23933,8,8,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23934,9,9,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23935,9,15,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23936,10,14,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23937,10,6,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23938,10,7,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23939,11,9,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23940,12,10,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23941,12,14,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23942,12,11,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23943,13,11,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23944,15,11,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23945,16,21,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23946,16,12,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23947,17,15,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23948,17,10,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23949,17,14,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23950,18,18,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23951,18,16,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23952,18,17,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23953,20,14,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23954,20,21,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23955,21,14,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23956,21,21,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23957,22,16,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23958,24,15,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23959,24,15,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23960,24,25,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23961,26,15,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23962,26,22,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23963,26,28,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1986,6/9/1986 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",23964,29,36,1
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",1987,6/22/1987 0:00:00,-1,6006.00,"Lophogorgia chilensis","red gorgonian",24146,6,4,1
