"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","SurveyYear","SurveyDate","PermanentObserverNumber","ScientificName","CommonName","Count","TotalLength_cm","MinimumLength_cm","MaximumLength_cm"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",1,29,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",3,32,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",5,2,2,3
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",6,4,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",45,4,4,5
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",10,7,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes carnatus","gopher rockfish, all",1,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes caurinus","copper rockfish, all",1,22,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes caurinus","copper rockfish, all",1,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes caurinus","copper rockfish, all",1,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes caurinus","copper rockfish, all",1,37,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes caurinus","copper rockfish, all",1,38,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes chrysomelas","black and yellow rockfish, all",1,17,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes chrysomelas","black and yellow rockfish, all",2,20,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes chrysomelas","black and yellow rockfish, all",2,27,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes chrysomelas","black and yellow rockfish, all",3,29,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes chrysomelas","black and yellow rockfish, all",1,32,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes miniatus","vermillion rockfish, all",1,10,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes mystinus","blue rockfish, all",4,8,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes mystinus","blue rockfish, all",3,20,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes mystinus","blue rockfish, all",1,23,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes mystinus","blue rockfish, all",3,25,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes mystinus","blue rockfish, all",1,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes paucispinis","bocaccio, all",3,6,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes serranoides","olive rockfish, all",1,10,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes serranoides","olive rockfish, all",1,50,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes serriceps","treefish, all",1,7,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Sebastes serriceps","treefish, all",1,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Semicossyphus pulcher","California sheephead, female",1,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Semicossyphus pulcher","California sheephead, female",2,35,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Semicossyphus pulcher","California sheephead, female",1,40,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007,7/11/2007 0:00:00,324,"Semicossyphus pulcher","California sheephead, male",1,50,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Embiotoca jacksoni","black surfperch, all",1,20,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Embiotoca jacksoni","black surfperch, all",1,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",1,8,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",1,12,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",2,15,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",1,25,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",1,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Embiotoca lateralis","striped surfperch, all",3,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Hypsurus caryi","rainbow surfperch",1,14,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Hypsurus caryi","rainbow surfperch",1,18,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Hypsurus caryi","rainbow surfperch",1,22,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Ophiodon elongatus","lingcod",1,42,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Oxyjulis californica","señorita, all",1,15,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",14,6,5,7
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",1,17,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",2,20,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",1,22,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",7,25,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",2,27,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",4,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes atrovirens","kelp rockfish, all",1,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes caurinus","copper rockfish, all",1,22,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes caurinus","copper rockfish, all",1,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes caurinus","copper rockfish, all",1,42,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes chrysomelas","black and yellow rockfish, all",1,14,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes chrysomelas","black and yellow rockfish, all",1,20,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes chrysomelas","black and yellow rockfish, all",1,22,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes chrysomelas","black and yellow rockfish, all",1,26,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes chrysomelas","black and yellow rockfish, all",1,27,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes chrysomelas","black and yellow rockfish, all",1,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes miniatus","vermillion rockfish, all",1,48,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes mystinus","blue rockfish, all",2,22,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes mystinus","blue rockfish, all",1,24,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes mystinus","blue rockfish, all",21,25,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes mystinus","blue rockfish, all",2,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes mystinus","blue rockfish, all",1,35,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes paucispinis","bocaccio, all",1,12,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Sebastes serranoides","olive rockfish, all",1,10,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008,9/9/2008 0:00:00,324,"Semicossyphus pulcher","California sheephead, female",1,45,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Embiotoca jacksoni","black surfperch, all",1,27,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Embiotoca jacksoni","black surfperch, all",1,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",4,9,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",3,10,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",1,12,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",2,13,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",1,29,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Ophiodon elongatus","lingcod",1,55,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Oxyjulis californica","señorita, all",11,5,4,6
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Oxyjulis californica","señorita, all",20,8,7,10
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Rhacochilus vacca","pile perch, all",1,27,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes atrovirens","kelp rockfish, all",32,6,5,7
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes atrovirens","kelp rockfish, all",16,8,7,9
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes atrovirens","kelp rockfish, all",1,22,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes atrovirens","kelp rockfish, all",1,23,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes atrovirens","kelp rockfish, all",1,24,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes atrovirens","kelp rockfish, all",1,29,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes atrovirens","kelp rockfish, all",1,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes atrovirens","kelp rockfish, all",1,31,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",49,5,4,6
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",36,8,7,9
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes caurinus","copper rockfish, all",1,24,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes caurinus","copper rockfish, all",1,37,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes caurinus","copper rockfish, all",1,40,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",2,7,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,8,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",4,9,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,24,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,25,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,27,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",2,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,29,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,33,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes miniatus","vermillion rockfish, all",5,5,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes miniatus","vermillion rockfish, all",1,50,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes mystinus","blue rockfish, all",1,24,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes mystinus","blue rockfish, all",3,25,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes mystinus","blue rockfish, all",1,26,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes mystinus","blue rockfish, all",3,27,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes mystinus","blue rockfish, all",1,29,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes mystinus","blue rockfish, all",1,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes mystinus","blue rockfish, all",1,32,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes mystinus","blue rockfish, all",1,34,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Sebastes serriceps","treefish, all",1,24,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Semicossyphus pulcher","California sheephead, female",1,34,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Semicossyphus pulcher","California sheephead, female",1,37,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2009,8/18/2009 0:00:00,138,"Semicossyphus pulcher","California sheephead, male",1,54,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",4,9,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",1,23,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",1,24,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",1,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",1,33,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Hypsurus caryi","rainbow surfperch",1,14,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Hypsurus caryi","rainbow surfperch",1,17,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Hypsurus caryi","rainbow surfperch",1,18,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Ophiodon elongatus","lingcod",1,55,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Oxyjulis californica","señorita, all",75,8,5,10
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Oxyjulis californica","señorita, all",15,12,10,15
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes","rockfish spp., juvenile",9,6,5,7
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes atrovirens","kelp rockfish, all",2,25,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes atrovirens","kelp rockfish, all",1,31,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes atrovirens","kelp rockfish, all",1,35,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",41,4,4,5
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes caurinus","copper rockfish, all",1,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes caurinus","copper rockfish, all",1,33,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes caurinus","copper rockfish, all",1,35,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes caurinus","copper rockfish, all",1,37,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes caurinus","copper rockfish, all",1,40,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes caurinus","copper rockfish, all",1,45,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,12,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,22,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,24,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",3,25,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,27,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,28,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes chrysomelas","black and yellow rockfish, all",1,29,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes miniatus","vermillion rockfish, all",1,46,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes mystinus","blue rockfish, all",90,8,7,10
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes mystinus","blue rockfish, all",40,10,9,11
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes mystinus","blue rockfish, all",1,27,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes mystinus","blue rockfish, all",1,30,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes mystinus","blue rockfish, all",1,32,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes mystinus","blue rockfish, all",1,33,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes mystinus","blue rockfish, all",1,40,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes paucispinis","bocaccio, all",3,8,7,9
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes serranoides","olive rockfish, all",210,9,7,11
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes serriceps","treefish, all",1,27,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010,7/29/2010 0:00:00,138,"Sebastes serriceps","treefish, all",1,29,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2011,9/15/2011 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",2,8,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2011,9/15/2011 0:00:00,138,"Embiotoca lateralis","striped surfperch, all",1,10,,
